symbol,start_time_utc8,end_time_utc8,direction,spike_size_pips,duration_minutes,candle_count,opposing_candles,elbow_type,h4_final_hour
XAUUSD,2026-02-03 20:34:00+08:00,2026-02-03 20:40:00+08:00,bear,864.0,7,7,1,Single,False
XAUUSD,2026-02-03 20:49:00+08:00,2026-02-03 20:51:00+08:00,bear,623.0,3,3,0,None,False
XAUUSD,2026-02-03 21:40:00+08:00,2026-02-03 21:42:00+08:00,bear,510.0,3,3,0,None,False
XAUUSD,2026-02-04 00:33:00+08:00,2026-02-04 00:36:00+08:00,bear,1747.0,4,4,1,Single,False
XAUUSD,2026-02-04 01:00:00+08:00,2026-02-04 01:03:00+08:00,bull,2025.0,4,4,1,Single,False
XAUUSD,2026-02-04 02:50:00+08:00,2026-02-04 02:56:00+08:00,bear,2458.0,7,7,1,Single,True
XAUUSD,2026-02-04 04:53:00+08:00,2026-02-04 04:59:00+08:00,bull,1953.0,7,7,1,Single,False
XAUUSD,2026-02-04 05:00:00+08:00,2026-02-04 05:06:00+08:00,bear,2562.0,7,7,0,None,False
XAUUSD,2026-02-04 06:00:00+08:00,2026-02-04 06:06:00+08:00,bear,2358.0,7,7,1,Single,True
XAUUSD,2026-02-04 06:40:00+08:00,2026-02-04 06:46:00+08:00,bull,886.0,7,7,1,Single,True
XAUUSD,2026-02-04 07:52:00+08:00,2026-02-04 07:56:00+08:00,bull,961.0,5,5,1,Single,False
XAUUSD,2026-02-04 07:57:00+08:00,2026-02-04 07:59:00+08:00,bull,559.0,3,3,1,Single,False
XAUUSD,2026-02-04 10:21:00+08:00,2026-02-04 10:24:00+08:00,bull,1083.0,4,4,1,Single,True
XAUUSD,2026-02-04 13:29:00+08:00,2026-02-04 13:36:00+08:00,bull,1708.0,8,8,1,Single,False
XAUUSD,2026-02-04 16:41:00+08:00,2026-02-04 16:45:00+08:00,bull,784.0,5,5,1,Single,False
XAUUSD,2026-02-04 20:09:00+08:00,2026-02-04 20:14:00+08:00,bull,791.0,6,6,1,Single,False
XAUUSD,2026-02-04 23:08:00+08:00,2026-02-04 23:11:00+08:00,bear,1741.0,4,4,0,None,False
XAUUSD,2026-02-05 00:29:00+08:00,2026-02-05 00:34:00+08:00,bear,3374.0,6,6,1,Single,False
XAUUSD,2026-02-05 02:51:00+08:00,2026-02-05 02:59:00+08:00,bull,2701.0,9,9,1,Single,True
XAUUSD,2026-02-05 03:05:00+08:00,2026-02-05 03:08:00+08:00,bear,2057.0,4,4,0,None,False
XAUUSD,2026-02-05 03:09:00+08:00,2026-02-05 03:15:00+08:00,bull,2611.0,7,7,1,Single,False
XAUUSD,2026-02-05 03:20:00+08:00,2026-02-05 03:24:00+08:00,bull,1857.0,5,5,1,Single,False
XAUUSD,2026-02-05 07:41:00+08:00,2026-02-05 07:44:00+08:00,bull,743.0,4,4,1,Single,False
XAUUSD,2026-02-05 07:59:00+08:00,2026-02-05 07:59:00+08:00,bull,164.0,1,1,0,None,False
XAUUSD,2026-02-05 10:55:00+08:00,2026-02-05 10:59:00+08:00,bear,1118.0,5,5,1,Single,True
XAUUSD,2026-02-05 12:53:00+08:00,2026-02-05 12:56:00+08:00,bull,3775.0,4,4,0,None,False
XAUUSD,2026-02-05 13:04:00+08:00,2026-02-05 13:11:00+08:00,bull,3313.0,8,8,1,Single,False
